num,com1-20,coma-l,comP1-P8,result1,result2,result3,average,,,,,,,,,,,
1,1,a,P1,680 ,920,840,813.33 ,,,,,,,,,,,
2,1,a,P2,1080 ,790,1150,1006.67 ,,,,,,,,,,,
3,1,a,P3,1200 ,1570,1870,1546.67 ,,,,,,,,,,,
4,1,a,P4,3500 ,3670,3920,3696.67 ,,,,,,,,,,,
5,1,a,P5,8970 ,9620,10050,9546.67 ,,,,,,,,,,,
6,1,a,P6,12110 ,10880,11540,11510.00 ,,,,,,,,,,,
7,1,a,P7,2870 ,3340,3590,3266.67 ,,,,,,,,,,,
8,1,a,P8,1190 ,1840,1670,1566.67 ,,,,,,,,,,,
9,1,b,P1,1480 ,1560,1320,1453.33 ,,,,,,,,,,,
10,1,b,P2,1930 ,2050,2180,2053.33 ,,,,,,,,,,,
11,1,b,P3,3780 ,3640,3530,3650.00 ,,,,,,,,,,,
12,1,b,P4,5580 ,5170,5940,5563.33 ,,,,,,,,,,,
13,1,b,P5,7970 ,7620,7450,7680.00 ,,,,,,,,,,,
14,1,b,P6,4800 ,5020,4760,4860.00 ,,,,,,,,,,,
15,1,b,P7,3210 ,2950,2360,2840.00 ,,,,,,,,,,,
16,1,b,P8,1080 ,1130,1070,1093.33 ,,,,,,,,,,,
17,1,c,P1,2410 ,1980,2260,2216.67 ,,,,,,,,,,,
18,1,c,P2,3180 ,2930,2850,2986.67 ,,,,,,,,,,,
19,1,c,P3,6480 ,6230,5910,6206.67 ,,,,,,,,,,,
20,1,c,P4,18460 ,17850,19620,18643.33 ,,,,,,,,,,,
21,1,c,P5,21850 ,20780,22900,21843.33 ,,,,,,,,,,,
22,1,c,P6,28040 ,27860,26490,27463.33 ,,,,,,,,,,,
23,1,c,P7,10820 ,11970,12490,11760.00 ,,,,,,,,,,,
24,1,c,P8,3500 ,3680,3240,3473.33 ,,,,,,,,,,,
25,1,d,P1,4980 ,4250,4660,4630.00 ,,,,,,,,,,,
26,1,d,P2,7510 ,6800,6940,7083.33 ,,,,,,,,,,,
27,1,d,P3,22430 ,23870,25110,23803.33 ,,,,,,,,,,,
28,1,d,P4,49870 ,46420,47990,48093.33 ,,,,,,,,,,,
29,1,d,P5,57860 ,59300,55330,57496.67 ,,,,,,,,,,,
30,1,d,P6,42850 ,41790,44410,43016.67 ,,,,,,,,,,,
31,1,d,P7,30850 ,31460,32930,31746.67 ,,,,,,,,,,,
