flag,smiles
a,O=CCCCCCCCCC
b,O=CCCCCCCCCCCC
c,O=CCCCCCCCCCCCCC
d,O=CC1=CC=C(OCCCCCCCC)C=C1
e,O=CC1=CC=C(OCCCCCCCCCC)C=C1
f,O=CC1=CC=C(OCCCCCCCCCCCC)C=C1
g,O=CC1=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C1
h,O=CC1=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C1
i,O=CC1=CC=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C1
j,O=CC1=CC=C(OC(C(CCCCCC)CCCCCCCC)=O)C=C1
k,O=CC1=CC=C(C(OCCCCCCCCCCC)=O)C=C1
l,O=CC1=CC=C(C(OC(C)CCCCCCCCCC)=O)C=C1
m,O=CC1=CC=C(C(OC(CC)CCCCCCCCCC)=O)C=C1
n,O=CC1=CC=C(C(OC(CCCCCCCC)CCCCCCCC)=O)C=C1
1,CN(C)C1CCNC1
2,CCN(CC)CCNC
3,CNCCCNC
4,CCNCCCNCC
5,CNCCN(C)CCNC
6,CN(CCN)C
7,NCCCN(CCO)CCO
8,NCCCN(C)CCCN
9,NCCCN(CCCN)CCCN
10,NCCNC(CCN(CCC(NCCN)=O)CCN(CCC(NCCN)=O)CCC(NCCN)=O)=O
11,CN(CCNC)C
12,CN(CCN1CCNCC1)C
13,N1(C2CCNCC2)CCCCC1
14,CN(CCCNC)C
15,CCN(CC)C1CCNCC1
16,CN(C)C1CCNCC1
17,CN1CCNCC1
18,CCN(C1CCNC1)CC
19,OCCN1CCNCC1
20,CN1CCCNCC1
21,CCN(CCNCC)CC
22,CNC1CCN(C)CC1
23,CN(C1CCNC1)C
24,CCN(CCNC)CC
P1,O=P(OCCCC)OCCCC
P2,O=P(OCC(CC)CCCC)OCC(CC)CCCC
P1-2,O=P(OCC(CC)CCCC)OCC(CC)CCCC
P3,O=P(OCCCCCCCC)OCCCCCCCC
P4,O=P(OCCCCCCCCCC)OCCCCCCCCCC
P5,O=P(OCCCCCCCCCCCC)OCCCCCCCCCCCC
P6,O=P(OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC
P7,O=P(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC
